YEAR_TITLE_III,COUNTY_DISTRICT,COUNTY_DISTRICT_NAME,TITLE_III,YEAR_ASSESSMENT,AMAO1_MET,AMAO2_MET,AMAO3_MET,AMAO_MET,CONSECUTIVE_YEARS_NOT_MET,TITLE_III_STATUS
2009,1091,KIRKSVILLE R-III, ,2008,MET,MET,MET,MET,0, 
2009,4110,MEXICO 59, ,2008,MET,MET,MET,MET,0, 
2009,5120,WHEATON R-III,Y,2008,MET,MET,NOT MET,NOT MET,1, 
2009,5121,SOUTHWEST R-V, ,2008, ,NOT MET,MET,NOT MET,0, 
2009,5123,CASSVILLE R-IV,Y,2008,MET,NOT MET,NOT MET,NOT MET,2,Title III District Improvement Year 1
2009,5124,PURDY R-II,Y,2008,MET,MET,MET,MET,0, 
2009,5128,MONETT R-I,Y,2008,MET,MET,NOT MET,NOT MET,1, 
2009,6104,LAMAR R-I, ,2008, , ,MET,MET,0, 
2009,7121,MIAMI R-I, ,2008, , ,MET,MET,0, 
2009,7122,BALLARD R-II, ,2008, , ,MET,MET,0, 
2009,7129,BUTLER R-V, ,2008, , ,MET,MET,0, 
2009,8106,LINCOLN R-II, ,2008, ,MET,MET,MET,0, 
2009,8111,COLE CAMP R-I, ,2008, ,NOT MET,MET,NOT MET,0, 
2009,10087,SOUTHERN BOONE CO. R-I, ,2008, , ,MET,MET,0, 
2009,10089,HALLSVILLE R-IV, ,2008, ,NOT MET,MET,NOT MET,0, 
2009,10093,COLUMBIA 93,Y,2008,MET,NOT MET,NOT MET,NOT MET,2,Title III District Improvement Year 1
2009,11082,ST. JOSEPH,Y,2008,MET,MET,MET,MET,0, 
2009,12109,POPLAR BLUFF R-I, ,2008,MET,NOT MET,MET,NOT MET,0, 
2009,14129,FULTON 58, ,2008, ,MET,MET,MET,0, 
2009,15002,CAMDENTON R-III,Y,2008,MET,MET,NOT MET,NOT MET,1, 
2009,15004,MACKS CREEK R-V, ,2008,MET,NOT MET,MET,NOT MET,0, 
2009,16090,JACKSON R-II, ,2008,MET,MET,MET,MET,0, 
2009,16096,CAPE GIRARDEAU 63,Y,2008,MET,NOT MET,MET,NOT MET,1, 
2009,17125,CARROLLTON R-VII, ,2008, ,MET,MET,MET,0, 
2009,18047,EAST CARTER CO. R-II, ,2008, , ,MET,MET,0, 
2009,19139,ARCHIE R-V, ,2008, , ,MET,MET,0, 
2009,19142,RAYMORE-PECULIAR R-II, ,2008,MET,MET,MET,MET,0, 
2009,19148,PLEASANT HILL R-III, ,2008,MET,MET,MET,MET,0, 
2009,19149,HARRISONVILLE R-IX, ,2008,MET,MET,MET,MET,0, 
2009,19150,DREXEL R-IV, ,2008, ,NOT MET,MET,NOT MET,0, 
2009,19151,MIDWAY R-I, ,2008, , ,MET,MET,0, 
2009,19152,BELTON 124,Y,2008,MET,MET,NOT MET,NOT MET,2,Title III District Improvement Year 1
2009,20001,STOCKTON R-I, ,2008,MET,NOT MET,MET,NOT MET,0, 
2009,22089,NIXA R-II, ,2008,MET,NOT MET,MET,NOT MET,0, 
2009,22091,BILLINGS R-IV, ,2008,MET,NOT MET,MET,NOT MET,0, 
2009,22093,OZARK R-VI, ,2008,NOT MET,NOT MET,MET,NOT MET,0, 
2009,22094,SPOKANE R-VII, ,2008,MET,MET,MET,MET,0, 
2009,24086,KEARNEY R-I, ,2008, ,MET,MET,MET,0, 
2009,24087,SMITHVILLE R-II, ,2008,MET,MET,MET,MET,0, 
2009,24089,EXCELSIOR SPRINGS 40, ,2008,NOT MET,NOT MET,MET,NOT MET,0, 
